NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,Cultural Heritage,year
LOOKING GLASS PRODUCTIONS OF NEW YORK INC,White,film/electronic/media,N,N,n/a,N,NA,NA,NA,-6351,13149,-19500,81363,61863,3000,10003-4848,199311,NA,2018
LOUISE T BLOUIN FOUNDATION INC,White,multidisciplinary,N,N,n/a,N,closed?,NA,NA,-6581502,-6425133,-156369,52040,-104329,0,10005-4418,201508,NA,2018
LUMIS MEDIA INC,White,film/electronic/media,N,N,n/a,ND,NA,NA,NA,-51897,-40854,-11043,11043,0,0,10044-0124,201701,NA,2018
MANHATTAN ENSEMBLE THEATRE INC,White,theater,N,N,n/a,N,NA,NA,NA,-1460383,-1461284,902,56322,57224,57100,10014-3276,199912,NA,2018
MANHATTAN YOUTH BALLET INC,White,dance: ballet,N,N,Youth,N,NA,3,32366,-85285,-61904,-23381,799374,775993,0,NA,200703,NA,2018
MANNA HOUSE WORKSHOPS INC,Black,music: other,Y,Y,n/a,NA,NA,NA,NA,-288573,NA,-42694,210176,167482,167482,NA,196804,NA,2018
MARK STUART DANCE THEATRE INC,White,dance: other,N,N,n/a,N,NA,NA,NA,-58652,-46612,-12040,78945,66905,54632,10036-6800,201201,NA,2018
MARTHA GRAHAM SCHOOL OF CONTEMPORARY DANCE INC,White,dance: other,N,N,n/a,N,NA,1,750,-448743,-516011,67268,951988,1019256,279196,10014-2010,195901,NA,2018
MARTIN LUTHER KING JR CONCERT SERIES INC,Black,music: other,N,Y,n/a,NA,NA,NA,NA,-372543,-295622,-78221,658629,580408,580400,11201-3832,198306,NA,2018
MELA FOUNDATION INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-76285,-39416,-36869,346304,309435,253297,10013-3414,198710,NA,2018
METEOR FILMS INC,White,film/electronic/media,N,N,n/a,ND,NA,NA,NA,-5980,1,-5980,33882,27902,20000,10014-7500,200411,NA,2018
MILLENNIUM DANCE COMPANY INC,Black,dance: other,N,Y,Youth,NA,NA,NA,NA,-26234,NA,5824,33032,38856,0,10453-2904,199712,NA,2018
MIMI GARRARD DANCE COMPANY INC,White,multidisciplinary,N,N,n/a,N,NA,1,2500,-62969,-59188,-3781,10789,7008,5450,10175-0003,197301,NA,2018
MIRROR THEATRE LTD,White,theater,N,N,n/a,N,NA,NA,NA,-31354,4129,-35483,158261,122778,115447,10021-0033,198301,NA,2018
MISNOMER,White,dance: other,N,N,n/a,N,NA,NA,NA,-361336,-186512,-167430,744176,576746,166383,11218-2108,200809,NA,2018
MODERN-DAY GRIOT THEATRE COMPANY,Black,theater,N,Y,n/a,NA,NA,NA,NA,-2219,NA,-2219,8719,6500,5000,11217-1695,201302,NA,2018
MOMA AUXILIARIES INC,White,visual arts,N,N,n/a,N,NA,NA,NA,-1252533,-1252533,0,0,0,0,10019-5401,199802,NA,2018
MULLER WORKS FOUNDATION,White,dance: other,N,N,n/a,N,closed?,1,2000,-83598,-119438,10113,412503,422616,259717,NA,197501,NA,2018
MUSIC BRIDGES INTERNATIONAL INC,White,music: classical,N,N,n/a,MD,closed?,NA,NA,-2626,-2542,-84,84,0,0,NA,200509,NA,2018
MUSIC FOR LIFE INTERNATIONAL INC,White,music: other,Y,N,n/a,N,NA,NA,NA,-29198,-28519,-1479,26876,25397,25397,10011-0011,201011,NA,2018
MUSIC FROM JAPAN INC,Asian/Pacific Islander,music: other,N,Y,n/a,NA,NA,NA,NA,-60052,-22562,-28720,214156,185436,160752,10003-1106,197611,NA,2018
MUSIC OF THE SPHERES SOCIETY INC,White,music: other,N,N,n/a,N,NA,NA,NA,-10266,-10044,-222,974,752,750,10024-6893,200212,NA,2018
MUSIC THAT MAKES COMMUNITY,White,music: other,N,N,n/a,N,NA,NA,NA,-6886,NA,-9224,111620,102396,50170,10276-1031,201506,NA,2018
MUSIC THEATRE GROUP INC,White,theater,N,N,n/a,MD,closed 2016,3,21500,-124700,-133824,9124,58147,67271,46373,10025-1519,196504,NA,2018
MUSICA DE CAMARA INC,Hispanic/Latino,music: classical,N,Y,n/a,NA,NA,NA,NA,-13093,-14911,1818,109834,111652,111652,NA,198704,NA,2018
MUSICA SACRA INC,White,music: other,N,N,n/a,N,NA,NA,NA,-49495,NA,9529,344601,354130,116419,11201-1952,197403,NA,2018
NATIONAL MUSIC THEATRE NETWORK INC,White,theater,N,N,n/a,MD,closed 2016,3,35150,-173974,-153423,-20551,1734509,1713958,465024,NA,198405,NA,2018
NAUTILUSTHINK INC,White,literary arts,N,N,n/a,N,NA,NA,NA,-1788492,NA,-45799,696794,650995,40000,10018-6496,201409,NA,2018
NDI CENTER CORP,White,dance: other,N,N,n/a,Y,NA,NA,NA,-3288087,-2961980,-326107,326107,0,0,10039-3427,201012,NA,2018
NEGRO ENSEMBLE COMPANY INC,Black,theater,N,Y,n/a,NA,NA,NA,NA,-6246,-5704,-842,135481,134639,32933,10036-7320,196703,NA,2018
NEW AMSTERDAM PRESENTS INC,White,music: other,N,N,n/a,N,NA,NA,NA,-28058,-39257,21199,223473,244672,160938,11205-2426,201107,NA,2018
NEW CAMERATA OPERA INC,White,opera,N,N,n/a,Y,NA,2,300,-11230,NA,-5779,75570,69791,52914,10034-2939,201803,NA,2018
NEW FEDERAL THEATER INC,Black,theater,N,Y,n/a,NA,NA,3,26000,-34820,-10655,-63187,419959,356772,287599,10036-6216,197601,NA,2018
NEW MUSIC WORLD LTD,White,music: other,N,N,n/a,N,NA,NA,NA,-18823,NA,128,4612,4740,400,NA,201506,NA,2018
