NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,Cultural Heritage,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,year
OUT OF THE BLUE FILMS INC,White,film/electronic/media,Y,N,n/a,Y,NA,NA,NA,NA,-1702,-33203,154361,110404,264765,264762,10003-0000,200912,2011
PAN AFRICAN LITERARY FORUM,Black,literary arts,N,Y,n/a,NA,NA,closed?,NA,NA,-10450,NA,5000,18000,23000,23000,10011-8603,200806,2011
PARSIFALS PRODUCTIONS,White,music: classical,N,N,n/a,N,NA,NA,NA,NA,-379,386,-894,124570,123676,61755,10009-7425,197807,2011
PARTIAL COMFORT PRODUCTIONS,White,theater,N,N,n/a,N,NA,NA,NA,NA,-7927,-5019,-2908,70914,68006,53422,10018-6507,200205,2011
PERFORMERS COMMITTEE INC,White,music: classical,N,N,n/a,N,NA,closed 2013?,1,7500,-176414,-145168,-31246,137652,106406,55589,10023-8133,197506,2011
PERSIAN-IRANIAN PARADE FOUNDATION INC,Middle Eastern,folk arts/heritage,N,Y,n/a,NA,NA,NA,NA,NA,-62284,-88191,25907,26886,52793,35991,10023-7253,200603,2011
PERSONAL SPACE THEATRICS INC,White,theater,N,N,n/a,MD,NA,closed?,NA,NA,-1767,NA,4771,3339,8110,4250,10025-4819,200205,2011
PHOENIX THEATRE ENSEMBLE INC,White,theater,N,N,n/a,N,NA,NA,1,3000,-1325,-2159,834,112376,113210,67770,10010-3601,200412,2011
PICK UP PERFORMANCE COMPANY INC,White,theater,N,N,n/a,N,NA,NA,2,20000,-4355,59532,-63887,217717,153830,136998,10001-2327,197807,2011
PLAYERS FOUNDATION FOR THEATRE EDUCATION,White,theater,N,N,n/a,N,NA,NA,NA,NA,-26808,-44555,17630,73040,90670,71328,10003-1705,200808,2011
PRIMARY STAGES COMPANY INC,White,theater,N,N,n/a,Y,NA,NA,5,101000,-311339,-477126,165787,2277489,2443276,1161373,10018-9515,198512,2011
PROSPECT THEATER COMPANY INC,White,theater,N,N,n/a,Y,NA,NA,1,5000,-66947,-61113,-11513,198862,187349,119371,10018-0000,199809,2011
PUERTO RICAN TRAVELING THEATRE CO INC,Hispanic/Latino,theater,N,Y,n/a,NA,NA,NA,1,25000,-243072,-179863,-63209,247210,184001,146027,10025-7008,196903,2011
PULSE ENSEMBLE THEATRE INC,White,theater,Y,N,Women,N,NA,NA,NA,NA,-11558,31511,-43069,142806,99737,64466,10001-2505,199207,2011
PUPPET WORKS INC,White,theater,N,N,Youth,N,NA,NA,NA,NA,-13663,-15496,1833,244088,245921,16030,11215-0562,198110,2011
PUPPETRY ARTS THEATRE INC,White,theater,N,N,Youth,N,NA,NA,NA,NA,-18490,-18490,0,53325,53325,29290,11215-2416,200301,2011
RADIO FOUNDATION INC,White,film/electronic/media,N,N,n/a,N,NA,NA,NA,NA,-43930,-32022,-11908,199934,188026,82260,10024-2073,197708,2011
