NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,closed?,# Foundation Grants,$Amt Foundation Grants,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,Cultural Heritage,year
INDO-AMERICAN ARTS COUNCIL INC,Asian/Pacific Islander,multidisciplinary,N,Y,n/a,NA,NA,1,500,-233027,-218440,-16107,255941,239834,150246,10016-6601,199901,NA,2019
INNOVATIVE ARTS INC,MD,theater,MD,MD,MD,MD,NA,NA,NA,-35157,NA,-9262,50809,41547,41547,10023-2913,200703,NA,2019
INSTITUTE FOR RELEASING INITIATIVE,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-1543,25130,-26673,43155,16482,16399,11232-1303,199805,NA,2019
INTERNATIONAL WOMENS WRITING GUILD,Diverse,literary arts,N,Y,Women,NA,NA,NA,NA,-7884,NA,-40307,267184,226877,62351,10019-5704,201504,NA,2019
IRISH HUNGER MEMORIAL FOUNDATION,White,folk arts/heritage,N,N,n/a,N,NA,NA,NA,-21948,-21173,-775,775,0,0,10104-0101,200803,NA,2019
J-COLLABO ORG CORP,Asian/Pacific Islander,visual arts,N,Y,n/a,NA,NA,NA,NA,-74,-15736,15573,51003,66576,23500,11215-3486,201206,NA,2019
JAKE TV INC,White,film/electronic/media,N,N,Religion: Jewish,N,NA,NA,NA,-14111,-18234,4123,41094,45217,45217,11219-2640,201505,NA,2019
KEEN THEATER COMPANY INC,White,theater,N,N,n/a,Y,NA,7,72950,-39441,39656,-79097,744253,665156,535412,10018-8659,200109,NA,2019
KIDS CREATIVE 404 INC,White,multidisciplinary,N,N,n/a,Y,NA,NA,NA,-37012,28695,-65707,1489793,1424086,1292607,10035-1842,200401,NA,2019
KINDRED SPIRITS FOUNDATION INC,White,multidisciplinary,N,N,Youth,ND,NA,NA,NA,-78810,-85181,6371,43208,49579,39510,10023-5448,199504,NA,2019
KOREAN CULTURE CENTER OF NEW YORK INC,Asian/Pacific Islander,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-35436,13820,-49256,82396,33140,33140,10001-0361,201502,Cultural Heritage,2019
KWELI JOURNAL INC,Multiracial,literary arts,Y,Y,n/a,NA,NA,NA,NA,-5811,-17986,12124,90442,102566,29581,10021-0028,201009,NA,2019
LABYRINTH INC,White,theater,N,N,n/a,N,NA,1,5000,-99228,-104325,5097,87601,92698,89339,10014-3755,200204,NA,2019
LAMICRO THEATER INC,Hispanic/Latino,theater,N,Y,n/a,NA,NA,NA,NA,-1247,3570,-4817,28127,23310,22177,11104-3321,200504,NA,2019
LATIN AMERICAN WORKSHOP INC,Hispanic/Latino,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-53287,-39242,-14043,337376,323333,86073,10001-5594,199007,NA,2019
LES BALLETS GRANDIVA LTD,White,dance: ballet,N,N,n/a,N,NA,NA,NA,-49836,-49296,-540,540,0,0,10017-0000,200204,NA,2019
