NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,Cultural Heritage,year
MILLENNIUM DANCE COMPANY INC,Black,dance: other,N,Y,Youth,NA,NA,NA,NA,-20779,NA,8774,36907,45681,0,10030-2405,199712,NA,2017
MIMI GARRARD DANCE COMPANY INC,White,multidisciplinary,N,N,n/a,N,NA,2,3250,-59188,-51283,-7905,20236,12331,8463,10175-0003,197301,NA,2017
MISNOMER,White,dance: other,N,N,n/a,N,NA,NA,NA,-186512,NA,-69385,850810,781425,168447,11218-2108,200809,NA,2017
MODERN-DAY GRIOT THEATRE COMPANY,Black,theater,N,Y,n/a,NA,NA,NA,NA,-2219,NA,-2219,8719,6500,5000,11217-1695,201302,NA,2017
MOMA AUXILIARIES INC,White,visual arts,N,N,n/a,N,NA,NA,NA,-1252533,-1252533,0,0,0,0,10019-5401,199802,NA,2017
MULLER WORKS FOUNDATION,White,dance: other,N,N,n/a,N,closed?,2,17000,-83598,-119438,10113,412503,422616,259717,NA,197501,NA,2017
MUSIC AT THE ANTHOLOGY INC,White,music: other,N,N,n/a,N,NA,5,28500,-736,-12320,11584,175290,186874,176858,10013-2260,200103,NA,2017
MUSIC BRIDGES INTERNATIONAL INC,White,music: classical,N,N,n/a,MD,closed?,NA,NA,-2626,-2542,-84,84,0,0,NA,200509,NA,2017
MUSIC BRINGS LIFE INC,Multiracial,music: other,Y,Y,n/a,NA,NA,NA,NA,-237,-237,-325,3472,3147,3147,11208-5053,201408,NA,2017
MUSIC FOR LIFE INTERNATIONAL INC,White,music: other,Y,N,n/a,N,NA,NA,NA,-28519,79117,-107662,156696,49034,16670,10011-0011,201011,NA,2017
MUSIC FROM JAPAN INC,Asian/Pacific Islander,music: other,N,Y,n/a,NA,NA,1,1000,-22562,37054,-51090,199692,148602,131649,10003-1106,197611,NA,2017
MUSIC OF THE SPHERES SOCIETY INC,White,music: other,N,N,n/a,N,NA,NA,NA,-10019,-9120,-899,1459,560,560,10024-6864,200212,NA,2017
MUSIC THAT MAKES COMMUNITY,White,music: other,N,N,n/a,N,NA,NA,NA,-6886,NA,-9224,111620,102396,50170,10030-2366,201506,NA,2017
MUSIC THEATRE GROUP INC,White,theater,N,N,n/a,MD,closed 2016,3,13000,-133824,-99154,-34670,67047,32377,28627,10025-1519,196504,NA,2017
MUSICA DE CAMARA INC,Hispanic/Latino,music: classical,N,Y,n/a,NA,NA,NA,NA,-13093,-14911,1818,109834,111652,111652,NA,198704,NA,2017
MUSICA SACRA INC,White,music: other,N,N,n/a,N,NA,NA,NA,-32685,98834,-131519,528483,396964,143049,11201-1952,197403,NA,2017
NATIONAL JEWELRY INSTITUTE INC,White,visual arts,N,N,n/a,N,NA,NA,NA,-62944,-135895,22951,287941,310892,254583,10155-0002,200304,NA,2017
NATIONAL MUSIC THEATRE NETWORK INC,White,theater,N,N,n/a,MD,closed 2016,3,50000,-173974,-153423,-20551,1734509,1713958,465024,10036-8104,198405,NA,2017
NAUTILUSTHINK INC,White,literary arts,N,N,n/a,N,NA,NA,NA,-1418862,888762,-800655,2820156,2019501,1042395,10018-6496,201409,NA,2017
NDI CENTER CORP,White,dance: other,N,N,n/a,Y,NA,NA,NA,-2961980,-2529796,-432184,574887,142703,0,10039-3427,201012,NA,2017
NEGRO ENSEMBLE COMPANY INC,Black,theater,N,Y,n/a,NA,NA,NA,NA,-6246,-5704,-842,135481,134639,32933,10036-7320,196703,NA,2017
NEW AMSTERDAM PRESENTS INC,White,music: other,N,N,n/a,N,NA,1,5000,-39257,5868,7273,230645,237918,124030,11205-2426,201107,NA,2017
NEW CENTURY ARTISTS INC,White,visual arts,N,N,n/a,N,closed?,NA,NA,-5391,15646,-21037,53528,32491,3005,11209-1606,199705,NA,2017
NEW FEDERAL THEATER INC,Black,theater,N,Y,n/a,NA,NA,2,25000,-10655,NA,-36900,388319,351419,312034,10036-6216,197601,NA,2017
NEW LIGHT THEATER PROJECT INC,White,theater,N,N,n/a,N,NA,1,50000,-7849,NA,-7849,188134,180285,158953,10032-1563,201708,NA,2017
NEW MEDIA REPERTORY COMPANY INC,MD,theater,MD,MD,MD,MD,NA,NA,NA,-55637,NA,-22993,92967,69974,34030,10075-0755,201606,NA,2017
NEW MUSIC WORLD LTD,White,music: other,N,N,n/a,N,NA,NA,NA,-21330,-20221,-1109,6404,5295,0,10023-5739,201506,NA,2017
NEW PERSPECTIVES THEATRE COMPANY INC,Multiracial,theater,Y,Y,n/a,NA,NA,NA,NA,-15883,-15923,43,60718,60761,38587,10018-4008,199305,NA,2017
NEW STAGE THEATRE COMPANY INC,White,theater,N,N,Immigrant,N,NA,NA,NA,-1437,-1740,303,46275,46578,34242,10004-3236,200301,NA,2017
NEW YORK BAROQUE DANCE CO INC,White,dance: other,N,N,n/a,N,NA,NA,NA,-53500,-53911,411,105000,105411,27114,10009-7360,197902,NA,2017
NEW YORK CITY OPERA INC,White,opera,N,N,n/a,N,NA,3,2352500,-369566,86033,-226737,608712,381975,209853,10019-5905,197908,NA,2017
NEW YORK CLASSICAL THEATRE INC,White,theater,N,N,n/a,Y,NA,4,19000,-16140,8859,-24999,408616,383617,372718,10038-1854,200304,NA,2017
NEW YORK MUSIC FOUNDATION INC,White,music: classical,N,N,n/a,ND,NA,2,25000,-2579,11070,-13649,59584,45935,30130,10033-2508,201410,NA,2017
NEW YORK SCANDIA SYMPHONY INC,White,music: classical,N,N,n/a,N,NA,1,14000,-20161,-42399,15344,72404,87748,78732,10033-0000,199012,NA,2017
NEW YORK SHAKESPEARE EXCHANGE INC,White,theater,N,N,n/a,Y,NA,1,500,-2572,4731,-7694,111585,103891,50219,11238-1709,201201,NA,2017
NON-STOP MEDIA INC,White,visual arts,N,N,n/a,N,NA,NA,NA,-21345,21733,-29767,92798,63031,63028,11374-3655,200910,NA,2017
NORTH AMERICA PASTEL ARTISTS ASSOCIATION INC,White,visual arts,N,N,n/a,ND,NA,NA,NA,-3742,-2272,-1470,4500,3030,500,NA,200703,NA,2017
NOTES IN MOTION INC,White,dance: other,N,N,n/a,N,NA,2,650,-21060,-40078,19018,172476,191494,83900,10012-1553,200205,NA,2017
OLD SOUND ROOM PERFORMANCE ENSEMBLE INC,White,music: other,N,N,n/a,N,NA,NA,NA,-11309,NA,-11903,72845,60942,47262,11237-1524,201410,NA,2017
ONCE UPON A TIME INC,White,theater,N,N,n/a,N,NA,NA,NA,-10303,17361,-26371,144099,117728,20213,11418-2314,201403,NA,2017
ONE YEAR LEASE INC,White,theater,N,N,n/a,N,NA,NA,NA,-36760,-56833,20073,177528,197601,126812,11217-1695,200203,NA,2017
OPERA COMPANY OF BROOKLYN ASSOCIATION,White,opera,N,N,n/a,Y,NA,NA,NA,-7532,-8720,1188,11409,12597,500,10034-1000,200106,NA,2017
OPERA ON TAP,White,opera,N,N,n/a,Y,NA,2,10000,-16153,-17025,3954,164469,168423,65606,11218-2408,200701,NA,2017
OPERA ORCHESTRA OF NEW YORK INC,White,opera,N,N,n/a,MD,closed?,3,31500,-3458,15696,-18932,333864,314932,0,10028-4305,196712,NA,2017
ORIGINAL MUSIC WORKSHOP INC,White,music: other,N,N,n/a,N,NA,25,430020,-1557270,-1071555,-485715,3976708,3490993,2575604,11249-3009,201010,NA,2017
OUT OF THE BLUE FILMS INC,White,film/electronic/media,Y,N,n/a,Y,NA,NA,NA,-9685,-1005,-8680,79191,70511,767,10003-5005,200912,NA,2017
PANAMERICAN MUSICAL ART RESEARCH INC,Hispanic/Latino,multidisciplinary,N,Y,n/a,NA,NA,1,5000,-4513,-7076,2563,11363,13926,9908,10033-1341,198909,NA,2017
PEARL THEATRE CO INC,White,theater,N,N,n/a,ND,closed 2017,5,65480,-641881,-454194,-187687,1689657,1501970,699990,NA,198304,NA,2017
PECCADILLO THEATER COMPANY INC,White,theater,N,N,n/a,N,NA,2,20000,-56574,-12329,-44245,273993,229748,98364,10036-3510,199601,NA,2017
PERIAPSIS MUSIC AND DANCE INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-14331,-6388,-7943,62212,54269,49399,11238-4253,201308,NA,2017
PHOTO LEGACY FOUNDATION INC,White,visual arts,N,N,n/a,N,NA,1,2500,-627,2352,-2979,35853,32874,32874,10003-3236,201308,NA,2017
PHOTO-BASED ART INC,White,visual arts,N,N,n/a,N,NA,NA,NA,-395,-1515,1120,39962,41082,20000,11238-0000,200503,NA,2017
PRIMARY STAGES COMPANY INC,White,theater,N,N,n/a,Y,NA,25,490000,-151757,156594,-308351,3161816,2853465,1798932,10018-9515,198512,NA,2017
PROJECT Y THEATRE INC,White,theater,N,N,"Women, LGBTQ",N,NA,1,200,-23552,NA,-7183,59383,52200,28169,10018-8661,201004,NA,2017
PUERTO RICAN TRAVELING THEATRE CO INC,Hispanic/Latino,theater,N,Y,n/a,NA,NA,NA,NA,-94173,-92960,-1213,346223,345010,116397,NA,196903,NA,2017
PULSE ENSEMBLE THEATRE INC,White,theater,Y,N,Women,N,NA,1,5000,-31898,-36762,4864,20918,25782,14079,10108-2281,199207,NA,2017
PUPPET WORKS INC,White,theater,N,N,Youth,N,NA,NA,NA,-43729,-31245,-12484,208868,196384,19435,11215-0562,198110,NA,2017
PUPPETRY ARTS THEATRE INC,White,theater,N,N,Youth,N,NA,1,15000,-27386,-5901,18000,57952,75952,54452,11209-2259,200301,NA,2017
QI SHU FANGS PEKING OPERA ASSOCIATION INC,Asian/Pacific Islander,opera,N,Y,n/a,NA,NA,NA,NA,-2598,-5823,3225,60226,63451,55980,11421-2423,199607,Cultural Heritage,2017
RADIO FOUNDATION INC,White,film/electronic/media,N,N,n/a,N,NA,NA,NA,-17487,-34500,17013,161384,178397,100019,10024-2014,197708,NA,2017
REBEL PLAYHOUSE INC,White,theater,N,N,Youth,N,NA,NA,NA,-9908,NA,-6836,43059,36223,17162,11225-5520,201610,NA,2017
REDHAWK INDIAN ARTS COUNCIL INC,Indigenous,folk arts/heritage,N,Y,n/a,NA,NA,NA,NA,-6000,-2251,-3749,203379,199630,39030,11219-1083,199404,NA,2017
RELATIONSHIP PERFORMANCE AND ARTSGROUP INC,White,theater,N,N,Women,N,NA,NA,NA,-34276,NA,15588,61392,76980,73500,10009-5817,200702,NA,2017
RICHARD TUCKER MUSIC FOUNDATION INC,White,opera,N,N,n/a,N,NA,21,340600,-65782,NA,1406,913534,914940,907940,10019-1412,201505,NA,2017
RIO GRANDE UNION INC,White,dance: other,N,N,n/a,N,NA,NA,NA,-35299,-32713,-2586,229003,226417,203578,10012-3944,197309,NA,2017
ROOFTOP FILMS INC,White,film/electronic/media,N,N,n/a,N,NA,NA,NA,-2285,86287,-88572,1366711,1278139,691040,11215-2700,200906,NA,2017
RUSSIAN AMERICAN CULTURAL HERITAGE CENTER INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-9734,-12992,3258,41100,44358,39664,10040-4805,200407,Cultural Heritage,2017
SAVING GRACE NYC,White,historic preservation,N,N,n/a,N,NA,NA,NA,-132303,-71058,-61245,65334,4089,4089,10003-4804,200807,NA,2017
SCANDINAVIAN AMERICAN THEATER COMPANY INC,White,theater,N,N,n/a,N,NA,1,5000,-2076,5931,-8007,63395,55388,39686,10018-8647,201505,NA,2017
SEASIDE SUMMER CONCERT SERIES INC,White,music: other,N,N,n/a,ND,NA,NA,NA,-310293,-34681,-283076,589102,306026,306021,11201-3832,198104,NA,2017
SHAKESPEARE IN THE SQUARE,White,theater,N,N,n/a,N,NA,NA,NA,-1346,NA,-3885,15417,11532,5032,10003-6514,201706,NA,2017
SHIPIBO-CONIBO CENTER INC,Indigenous,visual arts,Y,Y,n/a,NA,NA,NA,NA,-149253,NA,-137663,137669,6,0,10031-5204,201608,NA,2017
SIKH ART & FILM FOUNDATION INC,Asian/Pacific Islander,multidisciplinary,N,Y,Religion: Sikh,NA,NA,NA,NA,-4057,-28332,24275,34186,58461,56019,10018-6803,200609,Cultural Heritage,2017
SILVANA MAGDAS VIVA BRAZIL DANCE CO INC,Hispanic/Latino,dance: other,N,Y,n/a,NA,NA,NA,NA,-17152,-13090,-4062,605,-3457,0,10185-0129,199306,Cultural Heritage,2017
SJ CHINESE CULTURE STUDIO INC,Asian/Pacific Islander,folk arts/heritage,N,Y,n/a,NA,closed?,NA,NA,-9194,-6988,-2206,71029,68823,68823,NA,200712,Cultural Heritage,2017
SOCIETY FOR THE STUDY OF MYTH AND TRADITION INC,White,folk arts/heritage,N,N,n/a,MD,NA,1,5000,-82080,-159763,77683,480741,558424,150960,10011-9260,197603,NA,2017
SOCIETY OF VOICE ARTS AND SCIENCES INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-43785,-25505,-18280,458930,440650,28212,10019-5904,201406,NA,2017
SOHO DESIGN DISTRICT,White,architecture and design,N,N,n/a,N,NA,NA,NA,-10488,1283,-11773,108626,96853,0,11216-4815,201608,NA,2017
SOKOLOW THEATRE DANCE ENSEMBLE LTD,White,dance: other,N,N,n/a,N,NA,1,1000,-26645,-30282,3637,27147,30784,30784,10113-0351,200403,NA,2017
SPELLBOUND THEATRE INC,White,theater,N,N,Youth,Y,NA,NA,NA,-18866,-5980,-12886,104697,91811,24141,11201-3022,201504,NA,2017
STAGEPLAYS THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,NA,NA,-440334,-406920,-33414,87556,54142,52550,10017-0000,199405,NA,2017
STARS WITHIN REACH PRODUCTIONS INC,White,theater,N,N,Youth,N,NA,NA,NA,-6770,7253,-14023,149900,135877,12077,10003-1502,201603,NA,2017
STATEN ISLAND BALLET THEATER INC,White,dance: ballet,N,N,n/a,N,NA,NA,NA,-13533,106550,5311,439373,444684,129766,10306-1941,199409,NA,2017
STELLA ADLER STUDIO OF ACTING,White,theater,N,N,n/a,Y,NA,2,55000,-59866,-254731,189959,7566750,7756709,806135,10006-2552,200008,NA,2017
TADA THEATRE AND DANCE ALLIANCE INC,White,theater,N,N,Youth,Y,NA,11,200121,-325625,-309040,-16585,1900387,1883802,778430,10001-6439,198512,NA,2017
TAKE WING AND SOAR PRODUCTIONS INC,Multiracial,theater,Y,Y,n/a,NA,NA,NA,NA,-911,-3163,752,50734,51486,40401,NA,200307,NA,2017
THE CHILDRENS CREATIVE WRITING CAMPAIGN INC,White,literary arts,N,N,Youth,N,NA,NA,NA,-257263,-221991,-35272,42272,7000,7000,10038-3101,199804,NA,2017
THE LITTLE OPERA THEATRE OF NY INC,White,opera,N,N,n/a,N,NA,4,6650,-103729,-20630,-83099,330695,247596,257791,10113-1392,201303,NA,2017
THE LITTLE ORCHESTRA SOCIETY- ORPHEON INC,White,music: classical,N,N,n/a,Y,NA,21,400300,-43035,41206,-84241,1346971,1262730,897440,10036-3746,197112,NA,2017
THE PATRIOT BRASS ENSEMBLE INC,White,music: other,N,N,n/a,N,NA,NA,NA,-13494,NA,-25767,324109,298342,5019,10014-3817,201101,NA,2017
THEATRETWEED INC,MD,theater,MD,MD,MD,MD,NA,NA,NA,-56,NA,-4826,23033,18207,17507,10014-2980,198405,NA,2017
THIS MUSICS FOR YOU INC,White,music: classical,N,N,n/a,N,closed?,NA,NA,-263,422,-685,685,0,0,10036-6304,199003,NA,2017
THREE GENERATIONS INC,White,film/electronic/media,Y,N,n/a,N,NA,NA,NA,-36993,-206619,169626,306216,475842,461459,10010-8189,200711,NA,2017
TRIBECA NEW MUSIC INC,White,music: other,N,N,n/a,N,NA,NA,NA,-1256,-2134,878,60325,61203,56400,10031-7335,199704,NA,2017
UNIQUE PROJECT INC,White,dance: other,N,N,n/a,N,NA,NA,NA,-4312,-2350,-1962,350231,348269,340238,10004-2415,198206,NA,2017
VALENTINA KOZLOVA DANCE FOUNDATION INC,White,dance: ballet,N,N,Youth,N,NA,NA,NA,-23096,-20409,-2687,104441,101754,43094,10128-5177,200403,NA,2017
VITAL THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,NA,NA,-357104,-328225,-28879,607228,578349,1613,10036-6809,200011,NA,2017
VOLCANO LOVE INC,White,dance: other,N,N,n/a,MD,NA,NA,NA,-3964,4338,-8302,215410,207108,175809,11217-2407,200004,NA,2017
WEST INDIAN AMERICAN DAY CARNIVAL ASSN,Black,multidisciplinary,N,Y,n/a,NA,NA,1,2000,-438507,-293599,-130271,1103134,972863,525089,11225-2907,197211,NA,2017
WHITE BIRD PRODUCTIONS INC,White,theater,N,N,Youth,N,NA,NA,NA,-25464,-20804,-4660,378833,374173,14575,11217-1695,199207,NA,2017
WHITE WAVE RISING-YOUNG SOON KIM DANCE COMPANY INC,Asian/Pacific Islander,dance: other,N,Y,n/a,NA,NA,NA,NA,-3210,7291,-10501,244525,234024,155966,11221-5835,199511,NA,2017
WILD PROJECT PRODUCTIONS INC,White,multidisciplinary,Y,N,LGBTQ+,Y,NA,NA,NA,-4660,NA,-8575,202268,193693,3771,10009-7424,201604,NA,2017
WILLIAMSBURG ART AND HISTORICAL CENTER INC,White,visual arts,N,N,n/a,N,NA,NA,NA,-4943,657,-5600,65089,59489,47830,11211-6129,199611,NA,2017
WINGSPAN ARTS INC,White,multidisciplinary,N,N,n/a,N,NA,2,4000,-265644,-338505,72861,3962758,4035619,286098,10036-3708,200207,NA,2017
WORKING THEATRE CO INC,White,theater,N,N,n/a,Y,NA,7,81500,-25933,-33457,7524,333131,340655,301919,10018-8635,198801,NA,2017
WORLD ACCORDING TO SHORTS INC,White,film/electronic/media,N,N,n/a,MD,NA,NA,NA,-8850,-40702,31852,163399,195251,8300,11225-3906,200602,NA,2017
WOVEN SPACES INC,White,multidisciplinary,N,N,n/a,Y,NA,NA,NA,-34069,-35596,1527,12541,14068,12500,11222-5971,199702,NA,2017
ZEUSS THIGH LTD,White,theater,N,N,n/a,N,NA,NA,NA,-1548,-1943,395,129614,130009,114350,10023-0031,200408,NA,2017
ZGD INC,White,dance: other,N,N,n/a,N,NA,NA,NA,-30880,-35028,4148,369450,373598,119289,10004-3237,199410,NA,2017
ZHENGUO BEIJING OPERA HOUSE INC,Asian/Pacific Islander,opera,N,Y,n/a,NA,closed?,NA,NA,-39632,-39477,-155,155,0,0,10002-0000,200804,Cultural Heritage,2017
ZIEGFELD SOCIETY INC,White,theater,N,N,n/a,N,NA,NA,NA,-3302,-1338,-1964,24955,22991,11864,10022-2374,201407,NA,2017
